"IntAngle","%I"
38.14882,91.47059
38.14384,91.42157
38.13885,91.37255
38.13386,91.3366
38.12888,91.30066
38.12389,91.2647
38.1189,91.22875
38.11392,91.19281
38.10894,91.15686
38.10395,91.16993
38.09897,91.183
38.09398,91.19607
38.089,91.20915
38.08402,91.22222
38.07904,91.16993
38.07405,91.11764
38.06907,91.06536
38.06409,91.07843
38.05911,91.07843
38.05413,90.98039
38.04915,91.01307
38.04417,90.94771
38.03919,90.88236
38.03421,90.817
38.02924,90.75164
38.02426,90.49019
38.01928,90.58824
38.01431,90.68628
38.00933,90.64707
38.00435,90.60785
37.99938,90.56864
37.9944,90.52942
37.98943,90.4902
37.98445,90.4902
37.97948,90.4902
37.97451,90.29412
37.96953,90.29412
37.96456,90.29412
37.95959,90.29412
37.95461,90.29412
37.94964,90.25542
37.94467,90.21672
37.9397,90.17801
37.93473,90.13931
37.92976,90.05159
37.92479,89.96388
37.91982,89.92518
37.91485,89.88648
37.90989,89.84778
37.90492,89.80908
37.89995,89.8194
37.89498,89.82972
37.89001,89.84004
37.88505,89.75232
37.88008,89.6646
37.87512,89.60956
37.87016,89.55452
37.86519,89.49948
37.86023,89.44444
37.85526,89.37908
37.8503,89.31372
37.84534,89.2647
37.84037,89.21568
37.83541,89.16666
37.83045,89.11764
37.82549,89.05228
37.82053,88.98692
37.81557,89.11765
37.81061,88.92157
37.80565,88.92157
37.80069,88.92157
37.79573,88.73702
37.79077,88.71588
37.78581,88.69473
37.78086,88.67359
37.7759,88.65244
37.77094,88.63129
37.76599,88.61015
37.76103,88.52364
37.75608,88.43714
37.75112,88.35063
37.74617,88.26412
37.74121,88.27566
37.73626,88.2872
37.73131,88.10265
37.72635,88.03576
37.7214,87.96886
37.71645,87.90197
37.7115,87.82354
37.70655,87.7451
37.7016,87.69608
37.69665,87.69608
37.6917,87.69608
37.68675,87.69608
37.6818,87.67974
37.67685,87.51634
37.6719,87.35294
37.66695,87.19608
37.66201,87.23529
37.65706,87.27451
37.65211,87.11764
37.64717,87.10785
37.64222,87.05882
37.63728,87.0098
37.63233,86.96079
37.62739,86.76471
37.62244,86.69935
37.6175,86.63399
37.61256,86.56863
37.60762,86.37255
37.60267,86.30719
37.59773,86.24183
37.59279,86.17647
37.58785,86.07843
37.58291,86.01306
37.57797,85.84967
37.57303,85.78431
37.56809,85.71896
37.56315,85.65359
37.55822,85.58824
37.55328,85.4902
37.54834,85.45751
37.5434,85.42483
37.53847,85.39215
37.53353,85.39215
37.52859,85.39215
37.52366,85.19607
37.51873,85
37.51379,84.80392
37.50886,84.70588
37.50393,84.60784
37.49899,84.5098
37.49406,84.41176
37.48913,84.33551
37.4842,84.25926
37.47927,84.08496
37.47433,83.91067
